Unnamed: 0,Zone,State,City,Name,Type,Establishment Year,time needed to visit in hrs,Google review rating,Entrance Fee in INR,Airport with 50km Radius,Weekly Off,Significance,DSLR Allowed,Number of google review in lakhs,Best Time to visit,Number of Google Reviews,Normalized Rating,Normalized Fee,Normalized Time,Normalized Reviews,Weekend Availability Score,Significance Score,Type Score,Airport Score,Ranking Score
103,Southern,Kerala,Kumarakom,Kumarakom Bird Sanctuary,Bird Sanctuary,1972,2.0,3.8,50,Yes,,Wildlife,Yes,0.1,All,10000.0,0.76,0.9933333333333333,0.7142857142857143,0.013513513513513514,1.0,0.25,0.1,0.05,0.6746370656370655
73,Western,Gujarat,Kevadia,Statue of Unity,Monument,2018,3.0,4.6,350,No,Monday,Historical,Yes,0.67,All,67000.0,0.9199999999999999,0.9533333333333334,0.5714285714285714,0.09054054054054055,1.0,0.3,0.1,0.0,0.6734826254826254
310,Eastern,Odisha,Bhubaneswar,Nandankanan Zoological Park,Zoo,1960,3.0,4.4,50,Yes,Monday,Wildlife,Yes,0.81,Afternoon,81000.0,0.8800000000000001,0.9933333333333333,0.5714285714285714,0.10945945945945947,1.0,0.25,0.1,0.05,0.6713745173745174
121,Southern,Karnataka,Bandipur,Bandipur National Park,National Park,1974,3.0,4.4,300,No,,Wildlife,Yes,0.15,Morning,15000.0,0.8800000000000001,0.96,0.5714285714285714,0.02027027027027027,1.0,0.25,0.4,0.0,0.6699555984555985
102,Southern,Kerala,Thekkady,Periyar National Park,National Park,1982,3.0,4.3,50,No,,Wildlife,Yes,0.14,All,14000.000000000002,0.86,0.9933333333333333,0.5714285714285714,0.01891891891891892,1.0,0.25,0.4,0.0,0.6698204633204632
173,Northern,Uttarakhand,Auli,Auli Ski Resort,Ski Resort,1990,3.0,4.5,0,No,,Adventure,Yes,0.01,Morning,1000.0,0.9,1.0,0.5714285714285714,0.0013513513513513514,1.0,0.35,0.1,0.0,0.6690637065637065
55,Southern,Goa,Goa,Dudhsagar Falls,Waterfall,Unknown,3.0,4.6,500,Yes,,Nature,Yes,0.3,Afternoon,30000.0,0.9199999999999999,0.9333333333333333,0.5714285714285714,0.04054054054054054,1.0,0.3,0.1,0.05,0.6679826254826253
115,Southern,Karnataka,Chikmagalur,Mullayanagiri,Mountain Peak,Unknown,3.0,4.5,0,No,,Nature,Yes,0.05,All,5000.0,0.9,1.0,0.5714285714285714,0.006756756756756757,1.0,0.3,0.1,0.0,0.6671042471042471
205,Northern,Jammu and Kashmir,Kishtwar,Kishtwar National Park,National Park,1981,3.0,4.3,100,No,,Wildlife,Yes,0.01,All,1000.0,0.86,0.9866666666666667,0.5714285714285714,0.0013513513513513514,1.0,0.25,0.4,0.0,0.6670637065637065
274,North Eastern,Assam,Kaziranga,Kaziranga National Park,National Park,1905,3.0,4.5,650,No,,Wildlife,No,0.068,Morning,6800.000000000001,0.9,0.9133333333333333,0.5714285714285714,0.00918918918918919,1.0,0.25,0.4,0.0,0.6668474903474902
